,ch1,ch2,ch3,ch4
0,-19.22,17.12,-39.44,-12.51
1,-13.44,-20.74,0.4,-12.64
2,71.68,52.89,38.06,-15.07
3,-84.27,35.87,58.39,-20.49
4,-37.44,41.68,123.56,-17.11
5,-14.76,81.05,-119.98,-10.21
6,-20.92,-11.98,40.18,-14.87
7,-13.79,42.09,-57.29,-6.93
8,-29.38,-56.23,-22.39,-11.69
9,18.69,214.36,11.69,-3.24
10,14.48,34.09,96.81,-3.45
11,-51.82,-124.02,-36.78,-17.68
12,-39.11,95.03,-24.5,-15.57
13,-9.76,-14.35,-5.73,-16.26
14,0.61,32.99,12.01,-12.48
15,-34.7,23.6,10.05,-14.19
16,-15.11,5.62,14.45,-11.65
17,73.86,16.29,54.65,-9.58
18,-66.21,-16.1,46.82,-11.92
19,-27.65,38.7,5.74,-8.01
20,-17.01,146.35,-16.7,-14.55
21,-35.75,-86.54,106.96,-26.39
22,-18.84,1.8,-76.03,-7.84
23,-33.83,57.56,-41.03,-7.93
24,28.27,44.9,59.83,-0.53
25,-2.93,-14.08,20.33,-25.32
26,-30.54,-1.59,-70.49,-10.38
27,-19.63,4.64,-5.21,-11.21
28,-1.53,59.31,-4.43,-10.41
29,-22.94,63.37,2.65,-20.3
30,-19.28,6.22,10.35,-1.17
31,-12.37,-35.87,58.16,-21.11
32,-7.92,36.68,-25.77,-8.97
33,-16.35,-1.37,-23.47,-9.88
34,63.83,85.0,0.81,-7.49
35,-76.96,13.62,3.97,-12.62
36,-37.59,2.75,5.53,-10.6
37,-14.54,3.17,10.43,-6.99
38,-21.58,36.64,5.01,-13.31
39,-30.1,-39.61,0.89,-17.4
40,-15.99,4.28,19.67,-14.68
41,-25.52,-5.76,78.6,-3.74
42,4.49,60.01,24.5,-28.14
43,-1.31,50.86,29.02,-9.25
44,-18.82,-20.63,-51.43,-10.16
45,-0.71,127.5,13.92,-12.91
46,-24.65,19.94,-40.76,-18.55
47,-14.25,-45.98,116.71,-7.69
48,60.82,-19.72,-15.63,-5.13
49,-62.16,-9.79,-10.77,-29.48
50,-69.45,51.02,-41.11,-5.32
51,-27.91,-0.28,-32.71,-18.57
52,-31.97,0.63,-6.48,-15.79
53,-32.95,21.53,-2.42,-12.15
54,-16.09,38.19,2.9,-16.1
55,0.66,13.1,6.51,-16.65
56,-7.34,40.3,8.15,-11.75
57,-2.36,49.16,6.83,-7.18
58,-26.87,-53.74,5.79,-17.92
59,-17.5,12.35,7.69,-6.44
60,-12.42,35.07,9.88,-13.42
61,15.33,50.6,79.97,-9.67
62,-25.37,89.98,77.1,-8.79
63,-47.73,-81.25,-12.72,-14.44
64,12.87,42.63,-65.82,-24.67
65,21.14,47.56,2.46,-13.57
66,-95.81,-13.16,55.94,-19.54
67,-15.28,86.07,-46.63,-9.68
68,-34.06,-56.84,77.54,-17.42
69,-23.17,-9.91,-28.98,-14.03
70,-10.37,25.03,-3.12,-25.64
71,-25.22,12.45,10.57,-10.3
72,10.85,33.7,78.81,-7.35
73,-12.01,38.29,-86.82,-13.18
74,-7.85,24.06,87.04,-14.24
75,0.6,74.58,33.19,-12.67
76,-37.03,-30.21,-38.12,-18.58
77,-24.34,9.33,-62.64,-21.38
78,-21.04,-49.65,-14.92,-13.57
79,-25.67,36.17,-5.77,-15.41
80,19.9,175.77,10.72,4.25
81,-8.5,-88.48,0.12,-25.02
82,27.03,-4.32,3.52,-12.16
83,-90.07,61.42,11.34,-13.92
84,-26.89,5.4,14.06,-14.88
85,-40.41,39.37,45.34,-15.6
86,-26.62,13.31,41.0,-24.11
87,-7.48,-17.57,78.0,-13.46
88,3.52,-4.71,-87.35,-22.07
89,-1.14,58.33,-23.05,-14.35
90,-31.61,157.27,107.45,-5.15
91,-37.5,-122.95,185.94,-34.37
92,-16.61,-2.39,-162.44,-5.59
93,-25.16,-35.97,-68.37,-19.05
94,-15.92,63.61,-25.51,-21.25
95,-26.79,-11.89,-7.64,-12.77
96,-8.61,60.52,3.42,-14.31
97,-13.28,31.79,10.87,-15.8
98,37.26,15.59,6.99,-17.84
99,26.76,27.91,4.59,-17.4
100,-116.26,4.66,6.97,-13.34
101,-62.15,109.84,11.95,-11.8
102,-39.27,-21.26,7.77,-21.78
103,1.39,-8.77,31.52,-21.38
104,-19.37,31.69,0.49,-13.65
105,-19.02,-2.65,-5.19,-13.94
106,-26.79,41.24,1.81,-19.03
107,1.04,33.84,8.65,-11.43
108,-13.66,31.9,0.56,-9.62
109,-10.21,72.48,19.48,-14.83
110,-30.4,-81.69,257.28,-16.84
111,-28.15,-15.19,-24.89,-29.77
112,79.24,65.69,-144.64,-9.54
113,-57.97,-25.56,-16.78,-13.71
114,-75.79,3.7,30.67,-18.67
115,-29.53,78.14,-38.24,-19.24
116,-30.9,-61.64,61.4,-18.69
117,-17.46,20.59,17.93,-15.3
118,6.81,96.97,-48.26,-13.27
119,-21.87,56.62,-11.13,-8.67
120,-24.43,-53.4,-4.59,-19.74
121,-40.56,40.53,1.97,-12.68
122,-33.02,-13.0,17.0,-18.76
123,3.34,88.14,10.26,-7.86
124,-7.13,81.89,-1.79,-9.91
125,-17.63,23.89,5.82,-12.14
126,-35.7,-113.98,51.19,-10.08
127,50.6,-38.22,87.52,-15.6
128,-38.78,23.65,35.1,-13.72
129,-76.58,25.73,96.7,-11.72
130,-23.75,-4.79,-149.64,-18.13
131,-16.06,19.48,-50.41,-0.67
132,-15.09,102.84,-17.28,-15.94
133,-30.71,-69.59,2.79,-14.27
134,-22.78,24.65,-1.21,-16.49
135,-21.17,37.13,-7.53,-14.06
136,-15.19,45.53,15.55,-15.79
137,1.38,19.75,5.29,-5.56
138,-14.32,123.56,18.61,-3.09
139,-48.18,33.46,13.07,-8.5
140,-13.39,-79.61,18.46,-16.38
141,17.65,31.87,137.99,-8.11
142,59.53,-16.99,-76.07,-18.6
143,-89.82,43.42,7.31,-8.94
144,-57.54,-8.28,42.79,-14.82
145,-31.24,58.56,69.54,-16.07
146,2.5,44.27,-45.47,-9.89
147,-30.53,-35.23,29.2,-22.55
148,-16.46,-52.47,-65.5,-17.8
149,-10.75,-4.06,-31.73,-7.81
150,7.57,94.46,-3.84,-12.49
151,-39.07,15.99,6.92,-11.6
152,-22.89,26.24,4.97,-12.1
153,-30.08,9.12,36.87,-17.66
154,12.86,92.64,-7.66,-11.35
155,-2.11,7.91,-3.61,-13.68
156,52.33,-16.26,-7.57,-19.1
157,-100.9,10.82,10.51,-15.21
158,-45.54,184.52,20.33,-7.08
159,-45.09,-123.53,37.27,-14.94
160,-6.11,24.86,-13.04,-11.52
161,-12.53,-17.13,65.18,-15.61
162,-4.14,-46.48,67.19,-28.46
163,-9.61,13.77,-57.94,-14.38
164,0.88,20.18,38.12,-11.85
165,-9.43,4.34,27.56,-4.78
166,-19.15,41.57,40.66,-17.45
167,-18.7,9.43,-58.78,-19.68
168,-42.04,15.0,-19.07,-21.91
169,-0.63,25.51,-10.05,-15.95
170,55.74,120.36,25.66,-13.57
171,33.31,-57.21,-10.28,-17.8
172,-117.87,14.29,-5.93,-14.99
173,-57.49,14.79,9.27,-11.37
174,-6.28,39.45,46.2,-14.67
175,-16.58,13.74,-20.61,-18.56
176,-26.95,77.71,3.44,-15.29
177,34.09,42.9,12.77,-10.93
