,ch1,ch2,ch3,ch4
0,3.73,14.62,1.74,-17.24
1,4.31,24.25,7.15,-12.92
2,-7.52,29.42,-2.43,-16.4
3,-24.88,29.97,3.68,-10.08
4,-39.22,25.08,8.63,-11.6
5,-2.08,27.09,2.94,-15.5
6,-12.55,0.39,5.39,-12.33
7,-29.11,-23.66,6.0,-11.45
8,-16.0,16.57,8.47,-13.48
9,-13.16,34.49,5.13,-12.31
10,-48.74,-17.31,3.56,-15.78
11,2.7,38.25,-0.22,-15.31
12,-35.46,27.46,1.13,-17.03
13,-12.06,40.26,3.51,-17.33
14,-7.49,57.82,4.64,-9.4
15,-23.93,17.02,-1.3,-18.27
16,15.91,19.86,3.39,-13.07
17,-28.41,4.43,2.78,-13.36
18,-21.84,63.53,2.98,-16.52
19,-43.92,-7.96,5.08,-16.6
20,-24.4,6.81,2.86,-15.94
21,-3.63,27.08,-0.3,-18.56
22,-15.72,-23.71,0.56,-16.12
23,-34.44,-18.73,5.97,-16.57
24,-10.05,30.47,4.47,-16.44
25,-27.4,23.7,7.09,-15.9
26,-25.64,28.31,4.31,-15.52
27,-4.12,22.75,2.55,-15.66
28,-49.19,-26.33,5.94,-17.31
29,-17.84,24.69,3.13,-14.25
30,-0.6,-1.0,-6.11,-17.87
31,3.41,40.74,1.94,-17.82
32,-1.51,34.6,6.05,-15.16
33,31.11,0.49,0.51,-18.36
34,-57.11,41.5,4.51,-12.38
35,-39.58,5.16,2.04,-13.73
36,-47.07,-3.84,5.05,-11.87
37,-11.27,17.95,-0.43,-15.5
38,-37.09,22.65,3.76,-14.09
39,-16.54,15.04,3.51,-19.13
40,-9.78,6.2,4.97,-17.72
41,1.09,30.43,7.17,-9.38
42,-33.02,26.47,2.42,-13.14
43,-24.75,-0.57,6.36,-15.0
44,4.93,28.46,5.91,-19.27
45,8.3,37.53,7.68,-11.0
46,-55.67,0.27,7.87,-16.83
47,-15.08,-0.45,4.63,-14.8
48,-20.72,43.79,6.07,-16.56
49,-10.18,-38.76,2.04,-25.1
50,3.45,22.08,1.98,-21.11
51,-30.68,36.25,5.57,-16.68
52,1.02,35.05,2.59,-12.89
53,-37.21,19.51,5.42,-17.63
