,ch1,ch2,ch3,ch4
0,16.84,-17.77,-1.62,-29.17
1,-34.43,-7.59,15.19,-4.66
2,-86.57,96.02,18.65,-2.63
3,59.32,47.41,-12.11,-40.51
4,7.48,-9.36,4.32,-20.96
5,-19.41,-28.52,15.33,-6.16
6,-170.79,19.33,9.94,-15.24
7,36.3,100.27,-0.19,-30.15
8,192.19,149.67,4.8,-20.53
9,-141.11,-127.85,10.09,-14.56
10,-20.0,-28.24,-1.63,-27.54
11,10.39,150.74,11.69,-10.11
12,-29.86,11.99,18.43,-2.76
13,-48.0,-15.9,-5.45,-32.57
14,-49.06,76.39,13.05,-8.6
15,50.55,0.57,-7.44,-33.79
16,-8.63,-44.25,9.07,-18.22
17,-49.93,16.96,10.0,-10.08
18,-92.42,-12.51,15.25,-4.91
19,68.56,74.82,12.56,-8.76
20,-149.49,-62.38,5.62,-21.25
21,153.81,85.17,-7.63,-35.54
22,-86.81,103.95,-5.33,-28.25
23,31.42,177.35,20.67,11.98
24,-63.23,-160.04,-1.23,-39.44
25,-9.46,-25.15,6.89,-24.83
26,-39.94,-16.7,18.16,-4.79
27,73.28,18.17,-12.05,-41.54
28,-24.67,64.96,1.99,-24.36
29,-98.33,19.95,15.86,-6.43
30,51.41,77.58,8.7,-12.73
31,-77.86,-44.67,-0.18,-31.56
32,66.07,48.82,9.3,-17.07
33,-101.21,-24.53,14.05,-8.58
34,-79.28,27.32,9.01,-15.85
35,31.17,-40.71,3.16,-17.73
36,75.01,63.14,8.14,-15.9
37,52.14,11.37,0.21,-26.11
38,-61.56,118.2,11.35,-8.46
39,-106.54,104.16,10.84,-10.55
40,-73.86,-85.25,8.11,-19.65
41,90.34,52.12,-1.03,-22.39
42,-16.32,-21.79,7.1,-21.07
43,-141.66,-47.06,14.07,-8.99
44,-24.69,-11.17,8.14,-12.28
45,157.82,93.94,-1.65,-27.85
46,-75.81,173.07,11.62,-4.59
47,-70.83,-105.8,14.17,-6.89
48,87.9,-2.38,-4.53,-36.75
49,-42.58,58.62,5.75,-19.13
50,74.58,67.08,6.17,-21.32
51,-145.73,-84.27,12.64,-14.87
52,-63.45,35.51,7.0,-15.2
53,12.46,43.98,18.65,1.34
54,53.0,181.44,-2.08,-18.58
55,14.9,-44.52,11.27,-10.12
56,-8.46,-32.54,-1.5,-26.2
57,9.61,111.41,8.97,-8.87
58,-153.0,-33.59,5.71,-27.38
59,38.45,-7.61,9.45,-22.21
60,-41.18,-28.2,11.28,-13.79
61,-91.8,102.92,8.6,-11.77
62,4.13,-3.58,17.94,3.35
63,227.09,-26.26,-4.33,-35.47
64,-117.41,61.57,0.1,-24.51
65,33.3,-15.71,3.24,-21.98
66,28.72,160.94,12.89,-1.27
67,-157.53,25.98,8.22,-6.82
68,-181.88,-72.45,-2.25,-25.96
69,97.83,28.98,9.58,-14.67
70,103.68,131.19,6.35,-15.96
71,-30.15,-67.18,-0.01,-28.01
72,-58.17,-32.28,15.44,-10.78
73,-42.62,65.27,1.6,-24.07
74,-32.0,-14.83,7.64,-20.81
75,15.24,117.93,12.42,-17.28
76,15.8,89.91,6.56,-17.94
77,-113.49,-57.43,3.1,-20.41
78,100.6,26.39,10.42,-10.5
79,32.73,21.74,5.61,-22.88
80,-14.52,-42.11,3.31,-22.45
81,-197.46,-44.62,18.28,0.03
82,34.98,137.87,-1.31,-26.31
83,29.94,153.21,-2.55,-29.2
84,67.5,50.93,3.36,-10.59
85,-16.8,-133.24,7.76,-19.88
86,-117.49,66.42,2.07,-15.33
87,-63.24,-20.86,-0.26,-17.0
88,47.35,44.01,-1.64,-23.58
89,-15.01,68.35,-0.06,-17.93
90,-135.64,15.42,9.3,-2.43
91,90.77,17.46,-1.31,-20.56
92,-37.97,201.69,8.29,-6.34
93,-42.87,-124.24,2.49,-26.33
94,94.16,101.67,21.14,2.81
95,-14.22,-21.12,-7.56,-27.11
96,-121.76,-56.87,0.99,-21.07
97,-26.75,-6.99,10.91,-21.07
98,55.72,108.6,11.9,-12.93
99,-221.65,-25.65,23.9,6.28
100,164.32,-15.16,-0.85,-27.36
101,0.61,251.45,2.62,-18.99
102,21.95,-102.23,-5.95,-28.44
103,-3.99,-23.4,4.31,-19.11
104,-81.26,-21.64,7.34,-16.22
105,86.1,180.4,3.17,-15.57
106,-115.8,-66.54,3.9,-20.15
107,-12.63,-13.69,8.81,-12.42
108,-39.47,62.56,13.11,-11.89
109,-48.0,-10.62,-1.88,-23.93
110,-25.37,71.9,7.38,-9.09
111,-1.78,-9.89,11.36,-5.64
112,-166.27,-74.16,27.63,10.89
113,-56.28,165.99,-1.82,-23.86
114,231.12,102.81,-14.33,-35.01
115,-32.57,-104.61,5.36,-15.46
116,-21.36,65.67,4.7,-20.61
117,62.59,32.3,8.53,-10.85
118,-68.65,20.47,3.68,-18.33
119,-61.12,-20.4,3.44,-18.4
120,-42.64,32.05,9.94,-11.48
121,-85.61,-98.95,15.21,-8.63
122,74.18,85.75,-6.87,-38.06
123,-60.98,0.73,8.72,-14.73
124,-109.52,-18.78,8.71,-13.11
125,84.57,249.17,-0.11,-18.69
