ch1,ch2,ch3,ch4
-39.11,-616.17,-206.43,-1.52
-20.23,-509.5,-149.22,24.06
-14.96,-479.52,-195.36,43.92
-9.94,-507.85,-150.39,48.14
-14.48,-546.44,71.41,41.53
-38.64,-549.64,-297.68,140.29
-21.45,-574.86,-181.65,-69.38
-25.17,-566.41,-161.93,28.89
-13.99,-521.45,-171.06,-21.81
-22.65,-502.62,-146.25,82.51
-18.82,-507.3,-145.92,42.6
-16.16,-524.49,-115.9,61.38
-11.16,-595.34,48.21,35.57
-28.53,-539.25,-142.7,42.82
-36.26,-506.79,-273.4,32.85
-14.77,-517.66,-177.24,41.17
-16.39,-531.57,-136.3,13.01
-14.23,-536.37,-119.66,5.17
-30.65,-557.75,-220.94,48.78
-18.76,-518.95,-135.45,28.9
-28.43,-539.61,-152.97,23.08
-27.3,-532.93,-112.57,31.0
-16.51,-510.31,-62.55,33.59
-19.98,-621.31,-21.54,36.66
-34.9,-663.06,-418.01,22.45
-9.81,-418.65,-65.87,-34.65
-5.54,-442.95,-156.9,43.52
-11.94,-520.61,-80.93,30.18
-24.68,-510.42,-214.01,50.13
-4.9,-527.78,52.8,74.07
-19.59,-527.8,-158.58,19.79
-31.79,-556.27,-236.82,-2.16
-21.2,-529.08,-147.76,58.21
-11.93,-523.46,9.22,115.18
-34.5,-590.3,-217.45,-14.09
-30.29,-538.46,-203.51,12.52
-28.41,-507.67,-170.34,29.81
-24.6,-530.23,-189.21,32.08
-9.33,-526.57,-116.74,85.01
-24.56,-535.73,-192.31,-5.76
-22.53,-540.35,-167.97,-5.96
-16.23,-537.27,-82.29,30.7
-8.33,-503.12,-155.74,-2.56
-34.24,-545.96,-207.91,7.27
-37.25,-560.26,-159.6,85.97
-18.58,-586.53,-27.95,6.54
-29.99,-619.01,-25.32,89.99
-31.91,-508.71,-125.28,73.83
-27.23,-467.26,-247.65,-3.44
-6.88,-480.27,-149.13,-22.29
