ch1,ch2,ch3,ch4
-24.99,-496.51,-63.53,41.82
-28.92,-493.31,-130.52,6.6
-1.99,-469.78,-40.17,9.43
-24.5,-500.77,-211.68,-15.65
-5.56,-485.32,-130.72,12.37
-17.47,-486.47,-86.36,13.87
-30.83,-490.95,-141.08,-27.61
-25.85,-478.65,-137.68,20.38
-24.53,-490.3,-70.66,10.57
-19.46,-485.97,-143.34,12.63
-16.85,-477.76,-131.7,13.06
-10.21,-470.28,-136.9,6.94
-24.22,-494.58,-128.05,7.11
-26.27,-489.92,-117.66,9.87
-27.55,-483.23,-114.25,22.11
-9.24,-480.64,-91.9,41.26
-18.88,-477.15,-114.39,9.4
-25.19,-494.08,-89.63,-88.24
-23.32,-490.79,-151.63,39.63
-17.52,-498.0,-87.92,8.75
-17.97,-486.04,-53.41,38.4
-16.01,-483.69,-184.61,14.9
-16.5,-483.82,-92.91,0.44
-25.43,-485.7,-123.83,19.41
-4.46,-479.59,-124.34,17.16
-18.42,-479.18,-119.28,6.26
-21.45,-468.11,-174.47,-11.99
-21.34,-484.46,-106.37,2.26
-29.81,-497.98,-123.37,2.98
-13.46,-487.8,-58.08,29.71
-31.68,-495.69,-130.44,21.9
-23.99,-493.17,-122.1,46.93
-19.21,-490.33,-103.49,-3.64
-22.97,-485.22,-135.51,36.57
-20.19,-480.38,-149.38,-17.86
-24.89,-494.21,-130.65,10.35
-16.6,-482.31,-90.47,18.91
-21.69,-479.2,-99.16,11.76
-30.49,-492.24,-138.99,-12.8
-18.56,-491.96,-117.6,23.55
-14.11,-482.13,-71.01,15.76
-16.44,-469.75,-135.29,-2.96
-28.44,-486.68,-128.21,11.29
-9.99,-477.87,54.44,42.44
-36.16,-495.18,-240.95,-18.57
-28.81,-495.35,-113.69,26.47
-11.57,-475.45,-127.49,24.67
-23.93,-497.37,-139.31,-14.45
-25.65,-487.03,-117.71,36.84
-25.75,-487.91,-114.39,1.56
