ch1,ch2,ch3,ch4
14.32,-420.79,-111.51,20.35
21.22,-432.37,-116.67,21.55
-25.63,-556.65,-105.13,34.64
-5.28,-425.03,-98.16,33.0
-56.62,-518.8,-104.27,15.26
-32.3,-494.27,-82.52,36.78
-16.95,-486.35,-100.98,20.51
-48.15,-552.04,-112.88,11.5
-34.22,-430.87,-108.75,21.29
-16.6,-460.61,-102.58,21.13
30.78,-191.02,-110.85,22.02
-18.01,-544.35,-100.75,32.65
-70.96,-548.98,-88.76,35.77
-50.84,-425.11,-110.95,12.56
7.5,-506.18,-92.12,28.08
23.04,-465.6,-114.47,21.3
28.42,-418.65,-111.94,23.14
-90.82,-533.75,-110.36,24.71
2.48,-471.7,-92.92,27.5
-17.04,-485.78,-112.6,21.12
24.08,-437.51,-110.8,22.43
-12.83,-453.35,-108.13,20.6
-5.5,-446.43,-99.64,21.71
5.95,-452.28,-99.36,28.66
-25.08,-507.36,-107.93,14.61
-6.82,-365.91,-101.4,20.83
-17.15,-459.66,-109.19,27.91
-31.01,-432.76,-81.17,29.82
-7.96,-441.12,-108.98,14.1
-29.29,-560.0,-105.4,25.96
-26.19,-497.16,-106.42,17.31
-76.17,-584.83,-92.69,27.29
-50.78,-592.61,-97.08,28.04
35.42,-257.5,-105.51,14.38
42.14,-369.98,-103.24,20.75
-35.92,-480.23,-103.35,23.39
-8.97,-475.62,-97.53,29.22
-43.18,-528.45,-105.39,23.16
-10.55,-448.72,-100.31,19.89
-50.53,-430.93,-100.33,27.92
-15.72,-498.7,-100.59,12.56
-35.59,-518.03,-105.87,11.12
21.47,-382.55,-98.85,19.46
-8.05,-465.78,-98.63,18.7
-31.28,-518.21,-94.68,24.64
-15.9,-527.85,-100.87,30.56
-31.87,-458.77,-95.18,19.25
-26.13,-485.42,-82.07,33.66
-18.49,-571.43,-98.59,25.4
7.14,-383.02,-101.48,23.8
