ch1,ch2,ch3,ch4
-0.58,-509.2,-94.94,28.73
-75.23,-505.87,-105.87,13.88
-1.7,-358.45,-89.09,19.17
-4.86,-559.64,-98.45,24.03
-25.81,-527.37,-98.89,21.74
-5.83,-479.61,-98.97,32.9
11.98,-369.46,-103.95,19.07
-25.86,-501.17,-99.28,15.96
-19.68,-492.4,-106.11,20.96
-25.59,-568.03,-99.9,24.07
-27.34,-503.79,-104.38,21.71
-32.53,-500.57,-107.24,5.74
-43.74,-495.06,-102.0,27.33
-34.16,-520.25,-101.91,21.73
-33.56,-451.57,-91.0,29.66
-24.55,-517.79,-93.74,27.35
-18.49,-496.43,-91.17,20.14
-30.6,-531.45,-110.21,9.26
-18.31,-459.9,-92.97,25.99
-11.7,-487.07,-105.21,16.54
-59.3,-540.12,-98.66,20.96
12.93,-493.69,-106.02,13.5
-5.35,-465.3,-104.43,17.9
1.94,-429.13,-98.16,20.57
-9.44,-509.34,-93.29,24.56
-36.8,-444.24,-113.98,9.34
19.71,-349.01,-108.27,13.44
-39.57,-589.02,-98.69,29.11
-74.97,-597.19,-92.17,24.91
-20.09,-472.38,-109.77,16.46
-6.58,-470.23,-97.59,19.71
-37.7,-479.06,-100.64,27.91
-9.68,-519.71,-103.43,21.35
-31.59,-355.2,-98.79,18.8
-37.32,-557.66,-93.75,22.46
-9.27,-525.39,-101.11,12.19
-59.31,-506.29,-99.12,15.33
-24.74,-516.45,-93.78,12.9
-20.58,-466.16,-97.25,17.61
32.78,-326.64,-96.21,14.98
-33.78,-418.63,-99.21,19.19
-35.25,-614.57,-98.12,31.65
4.94,-542.29,-109.05,19.21
-22.43,-509.05,-102.03,25.19
-17.84,-508.6,-102.59,28.66
-18.27,-513.56,-102.48,26.44
-17.17,-472.89,-104.88,19.77
-23.84,-512.5,-105.18,20.3
-34.12,-509.43,-100.89,16.63
-38.34,-514.91,-98.36,20.65
