ch1,ch2,ch3,ch4
-38.92,-474.06,-102.3,23.78
15.15,-491.1,-97.06,18.42
7.15,-482.11,-107.39,14.42
-5.69,-471.99,-103.14,19.89
-13.47,-458.76,-103.65,17.11
-29.97,-479.69,-100.44,12.88
-33.86,-463.47,-102.18,22.92
-15.17,-461.41,-106.43,17.58
-23.0,-468.56,-101.98,17.05
-10.52,-420.87,-108.59,16.08
-20.23,-454.43,-107.09,10.28
-48.12,-490.41,-96.65,21.07
0.49,-468.12,-104.1,16.21
-1.93,-463.01,-102.96,17.17
-36.05,-449.69,-95.7,17.06
-53.27,-481.07,-97.81,18.98
-14.62,-476.75,-104.83,23.23
-16.14,-468.77,-101.71,15.69
8.34,-440.32,-111.28,20.41
4.54,-469.85,-105.05,21.63
-15.58,-455.34,-96.61,21.74
-17.72,-435.21,-96.32,17.0
-51.04,-491.36,-90.26,19.15
-2.3,-432.75,-98.55,22.06
-2.81,-468.47,-102.26,19.42
-9.6,-472.92,-99.41,21.32
-30.94,-472.63,-103.09,20.08
-28.86,-465.52,-97.96,26.08
-73.69,-445.14,-98.2,22.41
-20.03,-456.83,-99.74,21.77
39.54,-463.04,-106.59,18.58
-6.34,-470.23,-101.82,22.03
-10.87,-478.21,-102.72,24.07
-56.69,-485.94,-103.76,23.66
-57.63,-472.24,-95.83,24.92
22.26,-464.01,-98.57,16.59
2.85,-458.0,-102.61,21.86
-3.42,-466.5,-101.01,26.24
-27.59,-466.74,-97.24,26.59
-14.09,-443.07,-100.64,26.98
-18.69,-413.11,-103.29,25.05
-22.23,-511.94,-107.06,25.92
-6.29,-493.46,-101.76,24.93
-19.11,-457.06,-97.56,28.51
-62.79,-454.24,-92.01,25.64
17.51,-468.77,-101.39,23.31
-22.89,-451.23,-94.61,20.78
3.06,-446.23,-96.48,14.83
-27.94,-475.47,-96.22,12.24
-55.14,-450.83,-101.9,14.87
