ch1,ch2,ch3,ch4
-25.13,-509.74,-99.96,20.15
-2.55,-486.74,-101.28,14.42
-23.07,-481.03,-96.98,16.84
-17.25,-472.74,-95.03,19.29
-22.27,-476.97,-100.26,11.59
-71.28,-468.29,-102.89,16.03
-22.78,-479.34,-101.47,14.92
-1.39,-481.13,-102.98,15.77
2.38,-477.39,-103.58,18.54
-2.17,-471.52,-100.49,19.35
-13.68,-469.39,-96.58,16.54
-18.8,-465.62,-100.01,18.52
-23.9,-438.03,-103.38,13.69
-91.65,-441.8,-97.1,15.81
9.27,-502.24,-101.19,9.98
-9.35,-489.7,-96.28,16.5
-17.93,-472.86,-96.83,14.92
-7.4,-472.61,-99.42,14.79
-16.63,-486.27,-100.9,16.27
-20.79,-480.93,-100.28,18.54
-37.65,-471.58,-99.17,17.17
-21.99,-483.19,-92.3,19.11
-18.24,-475.15,-99.4,21.0
-19.76,-463.89,-102.14,20.15
-17.69,-468.2,-103.92,21.8
-8.61,-468.25,-104.21,19.09
-57.89,-468.37,-102.22,14.88
-9.05,-466.35,-94.74,20.17
-83.78,-458.96,-91.39,22.75
2.6,-456.77,-99.28,24.17
34.3,-481.56,-102.62,23.66
7.2,-487.21,-104.16,21.54
-4.19,-467.83,-100.89,19.14
-22.72,-461.71,-104.87,20.96
-70.1,-486.69,-101.14,18.56
-8.2,-479.9,-99.81,17.27
-21.96,-479.09,-103.8,19.38
-12.55,-473.92,-102.81,18.01
-14.77,-477.56,-105.06,20.61
-18.08,-468.57,-107.68,21.27
-34.31,-470.07,-102.76,22.84
-3.34,-469.64,-109.19,22.52
-18.31,-459.95,-102.8,25.27
-23.83,-467.41,-102.05,19.05
-112.48,-474.45,-100.34,22.1
32.49,-474.22,-104.47,20.17
10.7,-465.39,-99.5,22.24
-13.36,-474.23,-100.51,18.58
-30.83,-484.88,-101.55,21.73
-26.52,-474.04,-102.88,23.49
