ch1,ch2,ch3,ch4
-99.3,-517.34,-103.78,21.47
-50.46,-622.42,-101.9,37.8
89.54,-334.78,-109.4,17.34
-48.31,-446.7,-89.85,46.52
65.75,-416.31,-94.52,41.22
-73.31,-649.04,-96.97,29.38
-47.72,-523.94,-99.83,32.92
-15.18,-601.5,-92.37,34.69
-2.6,-425.89,-92.92,24.46
-187.49,-621.13,-93.74,25.52
118.65,-140.58,-121.93,-7.72
-1.44,-709.57,-88.35,47.9
-82.22,-563.58,-100.6,31.71
19.87,-439.28,-103.22,24.07
9.59,-466.46,-97.44,28.71
-50.7,-529.35,-97.72,34.8
-110.74,-428.69,-93.62,29.55
1.45,-565.7,-113.8,9.63
26.03,-491.28,-100.76,32.49
-90.87,-450.89,-89.53,40.03
23.22,-484.98,-93.88,40.23
44.98,-523.46,-109.93,18.78
1.29,-428.98,-105.6,26.57
-89.73,-600.04,-108.76,18.47
-30.81,-615.93,-106.47,13.12
-0.03,-397.39,-111.47,14.36
-101.68,-465.12,-99.45,33.75
43.44,-420.51,-106.11,21.59
45.6,-484.86,-99.18,30.28
-61.05,-628.41,-103.31,35.18
1.86,-584.55,-105.63,25.4
-20.78,-544.61,-99.72,24.68
-64.35,-415.98,-103.7,19.97
-27.33,-588.51,-109.23,6.87
-104.4,-411.13,-112.32,2.36
22.36,-393.22,-106.57,19.96
27.26,-331.56,-94.6,47.05
50.5,-487.23,-109.6,23.14
-74.47,-750.14,-101.2,35.62
11.06,-531.41,-101.51,17.22
-20.9,-550.92,-98.58,27.25
-19.6,-520.64,-98.75,26.1
-23.9,-518.71,-103.69,20.62
-30.53,-511.88,-98.96,22.23
-29.64,-493.58,-94.45,17.56
-33.72,-508.71,-99.7,20.15
-190.7,-341.49,-115.02,-11.9
183.59,-28.55,-127.87,-20.05
-55.79,-846.77,-77.1,71.03
-29.46,-619.69,-105.62,22.68
