ch1,ch2,ch3,ch4
-44.28,-450.63,-94.53,29.73
-6.82,-549.93,-103.29,-0.92
-44.54,-372.66,-98.67,12.94
30.14,-552.11,-77.94,47.07
34.35,-395.19,-94.55,22.0
-81.67,-526.84,-99.88,5.94
31.63,-296.62,-94.44,22.64
-33.19,-341.53,-91.29,16.14
-91.86,-727.9,-89.64,24.11
-35.67,-593.8,-91.02,33.83
13.15,-421.33,-100.6,19.96
-36.15,-473.73,-102.62,10.68
42.55,-575.39,-100.1,23.49
-61.18,-543.39,-90.96,30.88
-17.48,-626.68,-102.21,15.2
-14.88,-214.73,-111.03,8.62
-109.63,-712.69,-110.81,6.47
43.87,-151.91,-94.14,34.99
19.55,-611.19,-86.52,38.11
-70.02,-536.33,-97.06,24.63
-18.21,-587.94,-106.05,11.25
38.38,-442.28,-93.08,35.5
-68.14,-438.26,-100.46,18.85
-36.61,-580.37,-111.43,1.09
15.8,-175.27,-106.01,11.54
-140.0,-360.94,-94.42,44.61
71.11,-777.84,-99.73,43.5
5.74,-385.51,-103.3,22.41
-62.26,-550.23,-98.92,22.29
-25.54,-538.16,-93.33,32.43
-2.55,-540.32,-102.51,22.49
3.63,-487.19,-109.39,14.73
-13.48,-504.13,-108.75,13.24
-20.02,-421.82,-97.92,26.77
-56.51,-516.09,-95.97,33.54
7.74,-59.02,-106.92,3.9
-54.94,-788.47,-115.11,2.65
16.47,-504.5,-92.36,32.72
-74.58,-479.1,-100.08,29.19
-81.73,-715.58,-103.58,15.81
-221.57,-327.42,-117.28,-19.21
235.71,-60.15,-90.14,46.3
-45.81,-761.18,-86.8,50.31
30.41,-473.14,-104.03,13.53
-73.56,-527.74,-101.09,15.86
33.58,-483.79,-98.44,28.24
-13.82,-552.53,-100.12,23.77
-21.96,-505.82,-100.61,21.04
-12.93,-531.77,-105.07,23.25
-69.15,-537.85,-114.5,-2.96
