ch1,ch2,ch3,ch4
-40.99,-90.99,30.19,5.83
-16.63,66.03,32.74,15.46
-30.64,-87.59,28.99,5.63
-9.42,40.88,36.29,22.76
-30.02,-67.43,64.8,6.21
16.4,37.15,84.85,11.72
-32.29,58.32,11.67,19.21
-26.07,27.03,29.57,17.12
-18.11,4.17,49.55,12.28
-34.63,-79.36,33.14,9.83
-17.91,48.82,74.94,19.53
-30.19,-80.92,-20.22,10.24
-3.16,52.31,7.24,16.73
-8.13,1.1,27.94,11.67
-25.1,17.34,11.78,12.99
22.03,106.35,36.96,22.29
-20.17,-63.6,23.47,9.79
-29.1,34.43,30.52,6.02
-43.31,-109.91,28.2,4.4
-14.18,5.74,40.54,11.02
-19.86,-28.86,29.91,8.17
-17.64,7.72,33.68,17.09
5.01,154.94,147.96,15.28
-19.91,-62.34,127.03,11.29
-44.83,-93.21,-122.26,11.98
-15.04,-1.15,18.32,12.4
20.07,106.62,19.08,22.67
-27.32,67.4,20.25,5.71
-37.63,-113.19,39.87,10.59
-23.68,11.77,61.12,8.54
-20.11,-62.82,15.62,11.81
-17.87,15.07,46.56,13.02
-10.31,64.73,69.61,14.91
-27.59,-5.21,5.97,0.96
-23.59,23.02,24.05,14.51
-18.0,16.6,31.19,15.99
4.77,99.97,60.43,21.06
-32.37,-26.44,16.3,13.43
-21.25,1.93,29.72,18.68
-37.33,-25.63,31.31,1.98
-9.0,112.92,104.67,19.74
-6.38,-100.9,239.79,15.71
-45.85,34.47,-177.42,-1.45
-25.34,52.9,-1.2,19.92
-28.41,22.03,14.14,15.63
-21.16,-35.07,28.09,12.25
-7.43,34.18,49.01,13.01
-19.37,-12.75,97.5,15.65
-42.05,-36.07,-13.41,1.14
-10.52,5.2,37.29,14.83
