ch1,ch2,ch3,ch4
-22.08,-481.6,-113.64,60.03
-21.18,-477.77,-93.59,47.61
-16.12,-486.71,35.24,46.13
-21.01,-465.03,-196.31,-1.4
-17.04,-440.99,-153.04,-40.82
-23.23,-492.85,-87.02,50.63
-20.24,-531.32,174.82,45.23
-31.0,-489.55,-336.7,-8.94
-26.13,-475.68,-188.32,95.09
-22.86,-489.48,-100.62,-36.86
-30.8,-502.8,-95.52,70.91
-29.13,-481.52,-102.33,39.68
-7.78,-470.22,12.68,27.88
-16.72,-480.49,-49.6,82.08
-17.99,-488.27,-37.11,-4.55
-32.69,-505.69,-90.99,24.23
-30.52,-478.18,-267.66,-88.73
-20.33,-476.19,-121.2,48.88
-12.02,-488.77,-118.63,-54.01
-20.84,-461.88,-157.18,178.64
-26.33,-455.68,-63.99,1.94
-19.89,-457.19,-117.44,22.77
-31.92,-537.76,-60.19,44.65
-20.4,-480.43,-152.41,9.72
-29.98,-490.52,-104.05,41.12
-30.28,-493.66,-112.38,36.25
-2.98,-480.8,330.95,50.67
-11.38,-503.4,-474.23,6.9
-19.75,-473.45,-62.39,-8.18
-11.22,-448.05,-88.21,24.24
-6.28,-476.25,-5.54,61.2
-30.85,-504.03,-256.72,-77.34
-42.37,-516.57,-223.45,-36.34
-38.97,-505.89,-57.62,58.88
-21.38,-474.8,-54.56,64.52
-23.58,-486.77,-146.2,21.5
-33.37,-487.05,-107.2,49.32
-6.81,-471.69,119.35,49.54
-15.74,-495.78,25.49,-23.37
-43.09,-508.76,-326.01,67.21
-24.54,-481.47,-124.64,-5.48
-25.2,-412.91,-115.44,33.55
-13.33,-469.94,-73.16,4.04
-23.27,-522.32,-158.46,10.51
-25.76,-498.24,-99.17,49.66
-21.78,-482.89,-104.15,47.52
-27.67,-485.33,-111.88,40.36
6.82,-470.6,239.39,2.73
-35.4,-485.36,-314.29,-39.58
-26.39,-506.4,-37.92,89.21
