ch1,ch2,ch3,ch4
25.29,34.0,34.68,22.63
-48.59,-24.77,38.43,20.35
-23.62,-17.5,35.52,22.41
-44.16,5.78,37.73,19.16
-23.98,27.89,37.91,22.53
46.67,-4.65,32.78,18.13
-24.97,44.99,36.44,15.42
-25.48,9.97,35.16,17.19
0.99,-5.26,33.64,17.21
-27.59,-21.22,38.87,18.78
-22.51,8.13,37.51,13.05
-1.27,35.49,29.21,15.5
1.76,-4.46,30.62,10.46
-23.45,37.32,40.59,22.23
-21.96,-22.81,37.48,18.56
-19.09,22.97,30.62,15.54
-6.58,30.54,37.87,18.41
-44.38,-26.71,33.68,13.84
-49.88,30.62,34.6,19.92
47.18,-14.29,35.82,12.2
-8.24,29.49,35.63,12.69
-34.54,-28.76,35.08,17.26
-14.94,14.17,37.43,22.52
-1.48,39.58,37.2,17.06
-25.79,19.19,33.74,15.05
-12.47,-3.09,32.99,17.19
-7.94,23.79,35.31,13.3
-30.05,11.78,39.63,19.63
-26.24,55.84,82.35,16.07
-15.37,-9.19,62.36,15.08
-25.37,-14.05,3.66,11.01
-34.99,37.95,18.36,16.18
51.75,122.24,30.69,19.34
-14.0,-32.2,28.91,11.68
-37.84,-22.93,31.2,17.46
-25.11,-10.0,30.25,18.89
-29.78,27.45,29.02,13.2
4.13,37.26,31.53,14.16
-18.06,3.57,35.38,17.99
18.47,33.01,33.1,16.84
-8.18,27.18,33.14,14.28
-23.2,-11.11,33.93,14.12
-17.28,3.62,32.21,11.97
4.2,11.74,31.7,11.53
-39.9,15.13,34.44,13.23
-17.46,38.09,32.11,17.91
10.83,35.93,37.65,11.04
-41.37,69.94,37.97,16.26
-15.86,-48.78,32.7,14.21
-11.92,-10.19,25.48,9.44
