ch1,ch2,ch3,ch4
9.17,15.21,35.27,0.22
-25.56,41.74,37.65,6.55
-13.7,-9.74,34.58,4.35
17.28,49.23,33.72,-3.06
-44.19,22.33,36.44,1.53
-51.88,0.52,39.15,2.84
12.31,-32.71,33.15,0.05
2.56,18.77,34.93,2.15
-42.94,2.99,36.13,10.37
-7.46,25.52,38.65,10.88
-3.42,13.24,32.14,-2.05
31.73,36.07,27.82,-2.74
-22.48,22.27,35.34,1.53
-20.62,22.18,35.39,4.68
-9.3,-16.39,31.04,1.13
-10.74,27.86,32.32,7.54
15.63,32.41,32.43,3.06
5.39,57.28,36.39,-0.73
-41.59,6.43,31.22,3.2
-12.79,3.38,32.04,0.74
11.9,14.88,30.4,-0.65
-3.32,23.16,36.93,3.05
-95.41,8.82,35.22,5.09
21.16,19.39,30.98,0.84
-3.71,18.58,31.79,0.12
-21.01,0.0,32.37,0.84
-42.73,-20.82,36.31,3.58
-30.56,0.88,33.69,0.01
15.61,11.44,35.21,4.17
28.21,41.59,35.9,-0.88
20.73,21.5,31.85,-1.73
6.1,47.89,34.58,3.96
-42.98,24.08,32.13,3.35
-1.54,-32.99,30.4,-0.52
8.01,-8.14,33.34,2.23
-79.52,47.7,31.73,2.63
-27.2,-2.49,33.45,0.99
-24.66,-19.78,32.33,-0.04
13.44,-2.0,29.36,-2.63
-8.1,36.71,33.71,-0.39
4.19,26.79,31.42,0.82
-8.63,16.52,33.79,4.01
-21.93,7.05,33.36,4.81
-12.74,3.29,30.21,2.63
-29.16,0.83,28.97,5.26
-16.78,28.38,30.35,8.15
11.56,21.15,30.1,3.09
-18.18,2.07,30.61,3.42
-1.44,20.2,34.49,3.9
-16.76,-8.19,32.44,2.34
