ch1,ch2,ch3,ch4
70.9,-723.55,-94.56,67.98
23.78,-501.34,-108.19,36.62
-7.43,-489.09,-109.48,34.65
-128.31,-506.57,-116.05,23.03
-13.3,-537.51,-120.53,16.03
-3.01,-521.8,-114.27,28.2
150.27,-181.15,-113.15,34.3
-37.16,-489.64,-109.89,42.66
-36.92,-478.78,-108.28,39.58
-199.19,-515.55,-108.16,34.34
99.14,-381.32,-111.46,41.9
29.95,-516.47,-105.23,45.8
-27.37,-543.41,-105.25,40.19
-31.14,-485.1,-129.67,5.11
33.81,-297.7,-104.65,48.55
-32.28,-610.76,-97.44,59.49
-121.8,-464.88,-111.21,25.95
83.87,-231.75,-119.65,25.63
-65.17,-489.16,-93.57,56.45
21.04,-585.25,-112.54,38.45
-13.84,-428.18,-109.03,35.74
-62.13,-481.7,-110.0,43.06
-84.29,-331.48,-111.77,30.73
109.68,-643.87,-97.47,58.08
-53.66,-593.42,-117.03,18.46
42.2,-398.35,-111.75,25.49
-21.68,-336.79,-103.72,44.2
-13.67,-453.24,-99.09,46.89
-32.17,-551.68,-109.16,35.59
-34.12,-480.82,-106.1,44.22
3.32,-462.78,-124.16,8.19
66.24,-370.8,-100.97,52.14
-5.9,-464.76,-104.03,34.35
-14.64,-472.92,-107.38,37.89
-33.75,-424.02,-112.57,20.13
-108.0,-382.41,-99.91,53.97
-29.38,-592.34,-102.76,37.14
96.05,-430.95,-114.45,31.63
-37.54,-450.83,-134.2,4.45
43.71,-262.48,-101.99,57.42
-218.5,-667.68,-75.1,77.43
-20.99,-384.21,-104.57,40.84
16.18,-370.4,-128.68,8.77
68.33,-610.3,-92.82,66.85
25.38,-490.79,-104.81,51.04
-35.73,-380.73,-114.9,30.2
37.99,-462.49,-108.41,55.19
-14.62,-597.46,-98.35,67.69
-28.37,-539.93,-108.03,43.68
-101.27,-388.17,-113.06,32.75
