ch1,ch2,ch3,ch4
-29.64,94.92,3.51,26.76
-37.94,-62.47,10.68,-64.8
20.83,-6.31,7.96,-23.21
-4.11,56.92,9.89,45.85
-43.84,-5.79,14.75,-21.6
-6.08,60.38,9.19,-27.57
10.23,1.3,42.42,-15.35
0.23,50.33,41.8,7.8
-4.14,54.74,-29.52,27.08
-12.24,53.93,-9.98,-51.69
-46.52,-34.24,1.34,-54.83
-11.08,-1.38,-2.77,-10.78
-1.35,-19.37,-19.8,-8.62
1.67,150.92,38.4,24.46
-14.07,-45.36,-6.04,-54.6
-32.4,47.09,21.23,-6.48
-75.26,-58.88,13.9,6.86
58.45,151.19,-7.28,41.86
-25.42,-80.18,0.14,-78.98
-35.03,-73.6,1.96,-23.42
23.39,173.84,1.27,-44.09
-4.9,-8.55,9.32,-37.88
-31.15,20.32,2.86,-15.23
13.3,18.48,7.59,-19.46
0.42,123.97,5.26,25.28
-31.43,-10.7,5.5,-33.71
-22.14,-32.05,-7.58,-61.53
-67.91,-41.57,11.12,10.09
10.83,53.17,12.57,-28.9
-4.14,188.82,-0.04,-4.78
-36.86,7.41,38.08,-7.52
-5.96,-21.16,22.57,-30.08
-3.11,-119.08,-23.57,26.64
-4.5,115.4,-18.86,-38.63
-14.16,-213.18,11.35,-12.89
-13.87,183.02,0.77,-50.16
-35.55,61.08,-7.22,182.58
5.25,-25.08,6.96,-137.27
-1.62,69.61,20.97,-121.09
-14.72,62.17,0.52,21.66
-12.79,65.98,9.23,4.04
-9.68,-14.63,10.07,-5.77
-50.69,137.56,3.88,-11.8
8.77,7.07,8.34,-32.06
9.79,-166.18,6.43,52.98
-10.72,106.28,8.51,-46.79
-62.01,4.13,29.87,-22.28
-34.81,-85.64,-3.89,-47.32
-1.64,110.01,11.75,27.08
30.15,-32.11,10.08,-96.82
