ch1,ch2,ch3,ch4
23.05,-399.45,-164.67,-24.93
-8.37,-503.4,-162.42,-51.31
-47.89,-504.92,-51.69,43.25
-18.04,-470.31,-72.8,4.87
-40.27,-453.14,-124.61,24.75
0.03,-514.55,-153.31,-39.97
46.92,-389.47,-3.38,34.28
16.11,-329.26,-186.32,-20.26
-28.07,-568.25,15.8,7.58
-37.91,-563.15,-193.67,30.2
-16.68,-450.19,-133.22,-27.87
-28.23,-426.08,-64.72,37.18
-2.13,-525.59,-124.16,-4.4
-9.73,-522.42,-179.16,4.18
-33.32,-498.57,-111.0,-20.0
-5.42,-482.65,-58.06,14.65
-51.76,-474.09,-54.51,-26.06
-46.68,-439.35,-108.23,21.54
36.69,-466.75,-96.75,35.61
6.46,-491.37,-129.49,14.85
-31.99,-470.05,-75.0,19.99
-135.22,-428.83,-84.1,10.93
85.34,-414.67,-122.88,-30.72
29.35,-485.18,-133.38,16.56
-86.71,-497.52,-133.44,-11.71
-4.86,-397.89,-127.46,37.93
30.07,-476.82,-91.61,28.67
-0.9,-549.66,-98.43,-29.89
-25.97,-494.96,-118.4,-20.85
-22.22,-447.1,-97.43,29.85
-18.68,-497.37,-105.86,-11.26
-78.81,-477.65,-65.04,22.31
-89.7,-432.96,-128.92,-42.22
126.45,-364.61,-69.44,38.0
-15.36,-501.45,-110.65,12.59
-52.83,-406.85,-116.49,20.01
-38.59,-501.09,-45.93,5.93
-9.85,-518.84,-238.18,-19.97
30.29,-394.31,-35.89,19.01
-15.48,-464.22,-128.47,46.72
-32.86,-548.82,-96.07,-38.47
30.96,-504.11,-136.8,32.55
3.67,-394.09,-69.4,24.03
-29.52,-547.24,-126.32,-7.35
-18.02,-495.42,-96.08,-20.66
-42.47,-502.21,-80.73,-14.54
-93.31,-427.17,-84.92,70.58
-144.6,-479.65,-240.77,-85.08
52.56,-528.04,-18.32,59.01
113.12,-442.38,-86.88,5.31
