ch1,ch2,ch3,ch4
5.68,-410.38,-83.45,44.22
-2.26,-458.82,-136.06,-24.66
-32.55,-453.41,-84.94,26.29
-31.72,-530.99,-81.47,86.82
-5.08,-477.59,-67.49,12.58
23.12,-347.44,-146.2,25.36
-16.92,-300.84,-158.07,-0.17
-37.21,-667.67,-103.22,-53.48
-3.2,-453.46,-165.45,11.26
-6.47,-460.83,-204.94,67.82
-38.11,-477.02,-56.58,-53.55
-16.22,-514.64,-88.11,55.12
1.12,-407.89,-89.7,-51.24
-25.32,-390.92,-111.34,84.97
-28.6,-463.39,-64.73,35.56
-30.21,-607.85,-100.51,-9.69
-8.72,-415.27,-102.37,2.88
-18.12,-537.93,-129.71,24.66
-11.17,-394.7,-77.48,5.43
-16.13,-523.47,-89.26,-2.26
-23.29,-526.67,-88.41,88.62
-23.46,-421.81,-105.66,6.87
-6.19,-461.62,-105.73,14.36
-0.31,-322.37,-124.66,-9.94
-18.68,-589.85,-106.37,29.57
-12.77,-447.29,-144.23,-6.69
-9.29,-507.34,-89.89,-7.02
-5.33,-419.68,-220.89,-15.71
-29.47,-420.13,-55.22,90.74
9.73,-452.61,-88.54,1.73
-40.03,-536.08,-82.05,50.02
3.24,-339.05,-107.04,-69.09
-11.02,-364.16,-81.78,29.93
-26.98,-593.08,-87.19,68.13
-21.58,-535.08,-119.27,42.99
-2.37,-447.01,-90.97,7.01
-11.01,-521.12,-92.77,21.96
-24.56,-490.46,-96.83,26.33
-34.88,-476.9,-69.81,54.64
-13.77,-483.1,-118.66,-27.85
9.65,-408.15,-117.86,102.0
-22.26,-542.01,-129.93,-21.88
-24.52,-483.48,-55.68,-1.28
-10.62,-438.57,-84.82,36.87
-31.59,-416.2,-146.71,29.68
1.59,-462.24,-72.02,-13.71
0.99,-445.91,-86.73,64.09
-9.2,-495.71,-113.46,41.89
-10.21,-439.97,-115.99,28.02
-28.83,-525.43,-86.58,-3.85
