ch1,ch2,ch3,ch4
-43.88,-556.74,-102.35,2.43
-10.69,-477.71,-94.86,24.06
-21.52,-454.04,-111.48,64.49
-11.84,-433.78,-75.32,-25.78
-37.54,-574.53,-97.1,28.62
-32.31,-529.25,-123.18,-8.67
8.38,-355.82,-54.47,-11.63
-41.49,-547.08,-170.04,-5.18
-18.17,-368.37,-77.09,76.45
-22.09,-548.7,-46.13,65.3
-15.16,-519.28,-137.81,-23.17
-18.0,-492.15,-113.25,-58.91
-14.83,-387.87,-91.09,-40.42
-4.17,-456.14,-78.78,24.52
-36.82,-517.01,-84.8,94.63
-18.16,-541.93,-69.98,36.84
-11.33,-416.44,-133.98,-5.68
-14.35,-449.29,-214.87,-127.43
-37.59,-598.21,-61.39,60.17
16.85,-286.33,-90.75,21.72
-32.77,-533.62,-68.11,97.58
-11.1,-466.44,-40.53,-33.46
-35.57,-643.07,-180.64,23.84
-30.68,-356.98,-98.39,-21.61
-4.31,-437.53,-73.61,-8.64
-21.29,-484.95,-148.21,-19.69
-7.74,-431.4,-87.79,-12.45
-1.47,-431.92,-78.28,58.01
16.2,-426.36,-110.11,1.21
-43.12,-484.69,-167.44,-54.55
-33.35,-504.76,-115.19,-7.44
-21.56,-484.81,-93.95,105.01
-40.96,-570.34,-183.09,-87.34
25.35,-235.06,-86.78,-47.9
-13.58,-448.72,-64.75,-4.07
-36.0,-553.1,-207.64,-62.97
-19.35,-514.72,28.58,172.17
-49.07,-537.92,-82.07,19.85
-16.66,-437.62,-93.07,-0.88
4.7,-348.95,-98.22,63.91
-49.71,-621.7,-86.65,-73.79
-27.04,-543.21,-84.87,93.68
-39.65,-545.13,-135.28,-29.75
-8.26,-466.66,-64.46,4.66
-11.4,-456.08,-130.61,-27.59
-24.76,-519.27,-77.68,38.32
-13.02,-393.78,-107.85,61.93
-40.04,-448.48,-92.05,-6.06
-16.66,-503.45,-74.95,0.12
-4.21,-217.4,-127.2,27.79
