ch1,ch2,ch3,ch4
-47.87,-546.54,-149.28,6.14
30.77,-470.33,-130.89,-16.94
-7.23,-452.57,-51.37,6.54
-31.3,-475.93,-109.14,-32.06
-79.3,-562.57,-65.21,23.08
-46.21,-496.51,-167.97,-17.28
14.64,-258.68,-157.45,-50.24
-12.77,-503.82,-24.14,29.72
-4.36,-576.7,-77.32,38.43
-152.75,-433.26,-99.72,23.54
23.5,-500.15,-89.42,-28.86
23.02,-506.85,-101.28,37.63
20.65,-463.53,-57.79,-57.0
9.07,-458.75,-151.75,42.26
-32.22,-495.81,-69.11,21.29
-25.98,-518.9,-123.3,13.63
-26.53,-483.48,-110.2,4.92
-37.43,-480.9,-76.22,18.95
-45.05,-379.83,-146.88,-55.08
-15.3,-362.46,-69.51,1.18
-53.06,-522.26,-113.4,24.29
19.17,-516.27,-116.22,-27.33
-71.49,-499.1,-69.02,3.29
30.55,-473.42,-85.08,9.57
-64.85,-544.6,-101.74,45.62
-39.38,-391.81,-73.6,9.73
-83.01,-439.28,-75.23,-37.48
42.22,-510.63,-162.12,-15.46
42.32,-480.32,-219.9,-6.3
-56.35,-536.48,-59.64,2.23
-12.59,-418.02,9.16,62.94
9.43,-497.3,-68.43,-0.87
-27.72,-410.44,-106.16,23.14
-16.56,-538.67,-89.49,25.24
-88.56,-536.2,-92.13,20.62
-41.25,-485.61,-165.95,-1.87
102.64,-378.55,-200.45,-76.22
-25.69,-358.74,6.36,17.29
-0.21,-436.07,-68.6,37.47
-59.09,-570.77,-106.74,29.08
-54.54,-594.99,-87.45,23.27
-5.47,-386.16,-101.25,-9.13
-23.2,-553.26,-94.4,36.99
-51.3,-538.07,-93.27,13.51
-44.51,-503.12,-106.35,-0.16
-203.39,-407.04,-97.73,8.62
151.34,-480.6,-227.96,-16.44
89.78,-403.34,-169.49,-107.36
-35.28,-511.18,-171.14,-2.86
-47.99,-385.82,21.77,65.24
