ch1,ch2,ch3,ch4
6.26,-519.94,-100.6,22.43
-47.71,-447.21,-119.83,-3.54
-287.37,-427.29,-139.4,-11.21
142.89,-441.46,-120.25,-135.75
86.36,-482.89,-94.89,-13.92
-104.43,-488.61,-95.93,74.75
24.78,-453.82,-75.0,16.01
82.23,-473.78,-154.72,-33.94
5.13,-365.65,-80.39,-18.92
-86.82,-386.09,-156.15,32.44
-13.61,-417.12,-217.08,-50.22
68.27,-454.32,-32.86,-42.25
13.26,-541.16,-75.4,17.76
-136.15,-467.06,-316.9,-239.64
-7.08,-524.96,10.71,9.8
16.91,-502.06,-60.23,131.36
7.55,-477.59,-54.88,44.15
-53.12,-478.63,-117.01,-14.12
-184.29,-403.73,-82.55,-18.76
190.34,-359.87,-118.19,-27.28
12.29,-387.99,-163.16,-4.27
-237.95,-479.86,-114.99,52.4
87.07,-395.79,-244.83,-200.29
110.84,-476.29,-0.93,94.15
-216.08,-401.62,-62.18,40.24
163.25,-537.83,-106.69,-37.02
-5.85,-441.45,-110.5,-65.81
8.45,-453.34,-144.58,43.07
-81.05,-473.56,-113.11,-26.1
-1.64,-461.35,-70.54,-4.38
14.48,-467.33,-129.78,-13.96
11.58,-440.71,-99.48,-49.77
-198.26,-472.38,-331.45,-62.82
35.63,-474.54,-12.44,24.09
69.33,-337.47,-11.55,52.73
-103.82,-551.35,-37.89,37.72
-166.67,-417.81,-199.51,-93.61
244.94,-347.32,-132.51,-19.88
47.66,-408.2,-51.39,13.59
-45.69,-577.58,-132.75,-73.2
-45.87,-496.32,-151.85,-113.83
-82.68,-467.55,-145.48,70.64
7.96,-486.52,-37.04,66.57
-264.17,-425.97,-49.94,23.22
184.05,-302.26,-93.3,18.17
88.9,-358.18,-107.39,-13.29
-54.23,-624.32,-171.65,-38.07
80.16,-428.93,-95.98,-10.26
-40.53,-536.02,-126.05,40.65
-4.45,-521.08,-160.83,7.46
